HDR,ROLLING SYSTEM DEMAND
VD,20220923183500,32925
VD,20220923184000,32846
VD,20220923184500,32732
VD,20220923185000,32612
VD,20220923185500,32339
VD,20220923190000,32415
VD,20220923190500,32580
VD,20220923191000,32474
VD,20220923191500,32335
VD,20220923192000,32192
VD,20220923192500,31808
VD,20220923193000,31419
VD,20220923193500,31436
VD,20220923194000,31306
VD,20220923194500,31127
VD,20220923195000,30977
VD,20220923195500,30823
VD,20220923200000,30507
VD,20220923200500,30606
VD,20220923201000,30550
VD,20220923201500,30311
VD,20220923202000,30105
VD,20220923202500,29918
VD,20220923203000,29740
VD,20220923203500,29566
VD,20220923204000,29346
VD,20220923204500,29138
VD,20220923205000,28901
VD,20220923205500,28651
VD,20220923210000,28580
VD,20220923210500,28607
VD,20220923211000,28747
VD,20220923211500,28649
VD,20220923212000,28468
VD,20220923212500,28320
VD,20220923213000,28120
VD,20220923213500,28050
VD,20220923214000,27913
VD,20220923214500,27750
VD,20220923215000,27552
VD,20220923215500,27285
VD,20220923220000,27095
VD,20220923220500,27172
VD,20220923221000,26976
VD,20220923221500,26862
VD,20220923222000,26592
VD,20220923222500,26349
VD,20220923223000,26134
VD,20220923223500,25935
VD,20220923224000,25818
VD,20220923224500,25657
VD,20220923225000,25500
VD,20220923225500,25302
VD,20220923230000,25195
VD,20220923230500,25287
VD,20220923231000,25296
VD,20220923231500,25240
VD,20220923232000,25163
VD,20220923232500,25037
VD,20220923233000,24886
VD,20220923233500,24814
VD,20220923234000,24640
VD,20220923234500,24560
VD,20220923235000,24580
VD,20220923235500,24569
VD,20220924000000,24543
VD,20220924000500,24637
VD,20220924001000,24637
