HDR,ROLLING SYSTEM DEMAND
VD,20220922132500,29677
VD,20220922133000,29691
VD,20220922133500,29835
VD,20220922134000,29846
VD,20220922134500,29862
VD,20220922135000,29946
VD,20220922135500,29995
VD,20220922140000,30051
VD,20220922140500,30255
VD,20220922141000,30629
VD,20220922141500,30647
VD,20220922142000,30809
VD,20220922142500,30755
VD,20220922143000,30884
VD,20220922143500,30917
VD,20220922144000,31001
VD,20220922144500,31135
VD,20220922145000,31240
VD,20220922145500,31524
VD,20220922150000,31670
VD,20220922150500,31769
VD,20220922151000,32039
VD,20220922151500,32232
VD,20220922152000,32153
VD,20220922152500,32242
VD,20220922153000,32396
VD,20220922153500,32492
VD,20220922154000,32651
VD,20220922154500,32855
VD,20220922155000,33179
VD,20220922155500,33475
VD,20220922160000,33533
VD,20220922160500,33142
VD,20220922161000,33062
VD,20220922161500,33084
VD,20220922162000,33310
VD,20220922162500,33419
VD,20220922163000,33444
VD,20220922163500,33471
VD,20220922164000,33513
VD,20220922164500,33526
VD,20220922165000,33589
VD,20220922165500,33658
VD,20220922170000,33647
VD,20220922170500,33656
VD,20220922171000,33701
VD,20220922171500,33727
VD,20220922172000,33788
VD,20220922172500,33880
VD,20220922173000,33893
VD,20220922173500,33720
VD,20220922174000,33561
VD,20220922174500,33521
VD,20220922175000,33487
VD,20220922175500,33556
VD,20220922180000,33821
VD,20220922180500,33953
VD,20220922181000,33995
VD,20220922181500,33965
VD,20220922182000,34002
VD,20220922182500,34225
VD,20220922183000,34234
VD,20220922183500,34121
VD,20220922184000,34004
VD,20220922184500,34007
VD,20220922185000,34072
VD,20220922185500,33887
VD,20220922190000,33592
VD,20220922190500,33504
VD,20220922191000,33412
VD,20220922191500,33343
VD,20220922192000,33063
VD,20220922192500,32857
VD,20220922193000,32689
VD,20220922193500,32622
VD,20220922194000,32690
VD,20220922194500,32704
VD,20220922195000,32508
VD,20220922195500,32538
VD,20220922200000,32431
VD,20220922200500,32195
VD,20220922201000,31862
VD,20220922201500,31664
VD,20220922202000,31540
VD,20220922202500,31457
VD,20220922203000,31270
VD,20220922203500,30972
VD,20220922204000,30406
VD,20220922204500,29934
VD,20220922205000,29834
VD,20220922205500,29631
VD,20220922210000,29292
VD,20220922210500,29938
VD,20220922211000,30150
VD,20220922211500,30051
VD,20220922212000,29939
VD,20220922212500,29917
VD,20220922213000,29384
VD,20220922213500,29184
VD,20220922214000,28976
VD,20220922214500,28677
VD,20220922215000,28530
VD,20220922215500,28265
VD,20220922220000,28031
VD,20220922220500,27699
VD,20220922221000,27333
VD,20220922221500,26961
VD,20220922222000,26733
VD,20220922222500,26371
VD,20220922223000,26239
VD,20220922223500,26111
VD,20220922224000,25949
VD,20220922224500,25786
VD,20220922225000,25614
VD,20220922225500,25358
VD,20220922230000,25134
VD,20220922230500,24976
VD,20220922231000,24677
VD,20220922231500,24503
VD,20220922232000,24419
VD,20220922232500,24402
VD,20220922233000,24324
VD,20220922233500,24190
VD,20220922234000,24062
VD,20220922234500,24060
VD,20220922235000,23990
VD,20220922235500,23945
VD,20220923000000,23882
VD,20220923000500,23898
VD,20220923001000,23868
VD,20220923001500,23787
VD,20220923002000,23838
VD,20220923002500,23779
VD,20220923003000,23744
VD,20220923003500,23870
VD,20220923004000,23866
VD,20220923004500,23846
VD,20220923005000,23655
VD,20220923005500,23620
VD,20220923010000,23612
VD,20220923010500,23535
VD,20220923011000,23480
VD,20220923011500,23445
VD,20220923012000,23516
VD,20220923012500,23505
VD,20220923013000,23484
VD,20220923013500,23543
VD,20220923014000,23520
VD,20220923014500,23532
VD,20220923015000,23364
VD,20220923015500,23267
VD,20220923020000,23269
VD,20220923020500,23373
VD,20220923021000,23375
VD,20220923021500,23335
VD,20220923022000,23277
VD,20220923022500,23139
VD,20220923023000,23103
VD,20220923023500,23073
VD,20220923024000,23184
VD,20220923024500,23196
VD,20220923025000,23201
VD,20220923025500,23150
VD,20220923030000,23240
VD,20220923030500,23368
VD,20220923031000,23386
VD,20220923031500,23347
VD,20220923032000,23399
VD,20220923032500,23239
VD,20220923033000,23146
VD,20220923033500,23085
VD,20220923034000,23186
VD,20220923034500,23275
VD,20220923035000,23389
VD,20220923035500,23580
VD,20220923040000,23834
VD,20220923040500,23990
VD,20220923041000,24067
VD,20220923041500,24235
VD,20220923042000,24295
VD,20220923042500,24311
VD,20220923043000,24385
VD,20220923043500,24762
VD,20220923044000,24939
VD,20220923044500,25136
VD,20220923045000,25444
VD,20220923045500,25748
VD,20220923050000,25849
VD,20220923050500,26021
VD,20220923051000,26205
VD,20220923051500,26325
VD,20220923052000,26427
VD,20220923052500,26806
VD,20220923053000,27095
VD,20220923053500,27421
VD,20220923054000,27806
VD,20220923054500,28029
VD,20220923055000,28266
VD,20220923055500,28464
VD,20220923060000,28819
VD,20220923060500,29078
VD,20220923061000,29348
VD,20220923061500,29595
VD,20220923062000,29889
VD,20220923062500,30040
VD,20220923063000,30194
VD,20220923063500,30408
VD,20220923064000,30618
VD,20220923064500,30737
VD,20220923065000,30718
VD,20220923065500,30386
VD,20220923070000,30329
VD,20220923070500,30382
VD,20220923071000,30422
VD,20220923071500,30431
VD,20220923072000,30383
VD,20220923072500,30291
VD,20220923073000,30238
VD,20220923073500,30336
VD,20220923074000,30354
VD,20220923074500,30284
VD,20220923075000,30361
VD,20220923075500,30350
VD,20220923080000,30225
VD,20220923080500,30237
VD,20220923081000,30244
VD,20220923081500,29984
VD,20220923082000,29882
VD,20220923082500,29908
VD,20220923083000,29850
VD,20220923083500,29636
VD,20220923084000,29530
VD,20220923084500,29438
VD,20220923085000,29466
VD,20220923085500,29375
VD,20220923090000,29285
VD,20220923090500,29187
VD,20220923091000,29101
VD,20220923091500,29041
VD,20220923092000,29018
VD,20220923092500,29008
VD,20220923093000,28914
VD,20220923093500,28786
VD,20220923094000,28707
VD,20220923094500,28724
VD,20220923095000,28640
VD,20220923095500,28530
VD,20220923100000,28453
VD,20220923100500,28223
VD,20220923101000,28280
VD,20220923101500,28207
VD,20220923102000,28100
VD,20220923102500,28182
VD,20220923103000,28229
VD,20220923103500,28170
VD,20220923104000,28177
VD,20220923104500,28208
VD,20220923105000,28163
VD,20220923105500,28099
VD,20220923110000,27892
VD,20220923110500,27806
VD,20220923111000,27815
VD,20220923111500,27766
VD,20220923112000,27752
VD,20220923112500,27669
VD,20220923113000,27629
VD,20220923113500,27679
VD,20220923114000,27704
VD,20220923114500,27706
VD,20220923115000,27645
VD,20220923115500,27551
VD,20220923120000,27492
VD,20220923120500,27808
VD,20220923121000,28028
VD,20220923121500,28079
VD,20220923122000,28019
VD,20220923122500,27995
VD,20220923123000,27988
VD,20220923123500,27950
VD,20220923124000,28023
VD,20220923124500,27933
VD,20220923125000,27872
VD,20220923125500,27781
VD,20220923130000,27699
VD,20220923130500,27825
VD,20220923131000,27957
VD,20220923131500,27921
VD,20220923132000,27875
VD,20220923132500,27789
VD,20220923133000,27775
VD,20220923133500,27728
VD,20220923134000,27641
VD,20220923134500,27644
VD,20220923135000,27751
VD,20220923135500,27773
VD,20220923140000,27788
VD,20220923140500,28233
VD,20220923141000,28601
VD,20220923141500,28639
VD,20220923142000,28587
VD,20220923142500,28685
VD,20220923143000,28834
VD,20220923143500,28991
VD,20220923144000,29070
VD,20220923144500,29131
VD,20220923145000,29253
VD,20220923145500,28235
VD,20220923150000,28323
VD,20220923150500,29354
VD,20220923151000,29333
VD,20220923151500,29450
VD,20220923152000,29579
VD,20220923152500,29732
VD,20220923153000,29799
VD,20220923153500,30119
VD,20220923154000,30404
VD,20220923154500,30495
VD,20220923155000,30688
VD,20220923155500,30869
VD,20220923160000,31099
VD,20220923160500,31301
VD,20220923161000,31231
VD,20220923161500,31343
VD,20220923162000,31631
VD,20220923162500,31918
VD,20220923163000,32027
VD,20220923163500,32168
VD,20220923164000,32316
VD,20220923164500,32376
VD,20220923165000,32543
VD,20220923165500,32697
VD,20220923170000,32798
VD,20220923170500,32966
VD,20220923171000,32980
VD,20220923171500,32976
VD,20220923172000,33166
VD,20220923172500,33220
VD,20220923173000,33453
VD,20220923173500,33576
VD,20220923174000,33516
VD,20220923174500,33510
VD,20220923175000,33567
VD,20220923175500,33578
VD,20220923180000,33409
VD,20220923180500,33102
VD,20220923181000,32900
VD,20220923181500,32814
VD,20220923182000,32899
VD,20220923182500,32963
VD,20220923183000,32980
